question_order,question_type,text_uz,text_uz_cyrl,text_ru,points,is_active,work_domain,category,choice_1_text_uz,choice_1_text_uz_cyrl,choice_1_text_ru,choice_1_is_correct,choice_2_text_uz,choice_2_text_uz_cyrl,choice_2_text_ru,choice_2_is_correct,choice_3_text_uz,choice_3_text_uz_cyrl,choice_3_text_ru,choice_3_is_correct,choice_4_text_uz,choice_4_text_uz_cyrl,choice_4_text_ru,choice_4_is_correct,choice_5_text_uz,choice_5_text_uz_cyrl,choice_5_text_ru,choice_5_is_correct
1,single,"""Hududgazta’minot"" акциядорлик жамияти қайси норматив ҳужжатга асосан ташкил этилган?","""Hududgazta’minot"" aksiyadorlik jamiyati qaysi normativ hujjatga asosan tashkil etilgan?",На основании какого нормативного документа было создано акционерное общество «Худудгазтаъминот»?,1,TRUE,both,other,2017 yil 8 noyabrdagi PQ-3379 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2017 йил 8 ноябрдаги ПҚ-3379 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан от 8 ноября 2017 г. № ПП-3379,FALSE,2020 yil 18 iyundagi PF-6010 sonli Oʻzbekiston Respublikasi Prezidenti Farmoni,2020 йил 18 июндаги ПФ-6010 сонли Ўзбекистон Республикаси Президенти Фармони,Постановление Президента Республики Узбекистан от 18 июня 2020 г. № ПФ-6010,FALSE,2020 yil 24 sentyabrdagi PQ-4840 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2020 йил 24 сентябрдаги ПҚ-4840 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан №ПП-4840 от 24 сентября 2020 г.,FALSE,2019 yil 9 iyuldagi PQ-4388 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2019 йил 9 июлдаги ПҚ-4388 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан №ПП-4388 от 9 июля 2019 г.,TRUE,,,,
2,single,Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2024 йил 16 апрелдаги 204-сон қарорига мувофиқ Коммунал-маиший эҳтиёжлар учун аҳоли истеъмолчиларга бир куб метр табиий газнинг нархи (шкала бўйича минимал нархи) қайси қаторда тўғри кўрсатилган?,Oʻzbekiston Respublikasi Vazirlar Mahkamasining 2024 yil 16 apreldagi 204-son qaroriga muvofiq Kommunal-maishiy ehtiyojlar uchun aholi iste'molchilarga bir kub metr tabiiy gazning narxi (shkala boʻyicha minimal narxi) qaysi qatorda toʻgʻri koʻrsatilgan?,"В соответствии с Постановлением Кабинета Министров Республики Узбекистан № 204 от 16 апреля 2024 года, в какой строке правильно указана цена одного кубометра природного газа для коммунально-бытовых нужд (минимальная цена по шкале) для населения?",1,TRUE,both,other,380 soʻm,380 сўм,380 сумов,FALSE,650 soʻm,650 сўм,650 сумов,FALSE,1000 soʻm,1000 сўм,1000 сумов,TRUE,1800 soʻm,1800 сўм,1800 сумов,FALSE,,,,
3,single,"Ўзбекистон Республикаси Вазирлар Маҳкамасининг ""Газ хўжалигида хавфсизлик қоидаларини тасдиқлаш тўғрисида""ги қарори қачон қабул қилинган.","Oʻzbekiston Respublikasi Vazirlar Mahkamasining ""Gaz xoʻjaligida xavfsizlik qoidalarini tasdiqlash toʻgʻrisida""gi qarori qachon qabul qilingan.",Когда было принято Постановление Кабинета Министров Республики Узбекистан «Об утверждении Правил безопасности в газовой отрасли»?,1,TRUE,both,other,2019 yil 18 martdagi 226-sonli,2019 йил 18 мартдаги 226-сонли,От 18 марта 2019 г. № 226,TRUE,2019 yil 16 martdagi 226-sonli,2019 йил 16 мартдаги 226-сонли,От 16 марта 2019 г. № 226,FALSE,2019 yil 16 martdagi 225-sonli,2019 йил 16 мартдаги 225-сонли,225 от 16 марта 2019 г.,FALSE,2021 yil 16 martdagi 226-sonli,2021 йил 16 мартдаги 226-сонли,226 от 16 марта 2021 г.,FALSE,,,,
4,single,Оилавий корхоналарга табиий газ нархи  бир куб метр учун неча сўм этиб белгиланган?,Oilaviy korxonalarga tabiiy gaz narxi  bir kub metr uchun necha soʻm etib belgilangan?,Сколько сумов за кубометр составляет цена природного газа для семейных предприятий?,1,TRUE,both,other,650 soʻm,650 сўм,650 сумов,FALSE,1000 soʻm,1000 сўм,1000 сумов,TRUE,1800 soʻm,1800 сўм,1800 сумов,FALSE,2250 soʻm,2250 сўм,2250 сумов,FALSE,,,,
5,single,Суюлтирилган углеводород газининг формуласи қайси қаторда тўғри келтирилган?,Suyultirilgan uglevodorod gazining formulasi qaysi qatorda toʻgʻri keltirilgan?,В какой строке правильно указана формула для сжиженного углеводородного газа?,1,TRUE,both,other,C4,C4,С4,FALSE,N2,N2,N2,FALSE,C3H8,C3H8,C3H8,TRUE,H2S,H2S,H2S,FALSE,,,,
6,single,Бугунги кунда аҳоли истеъмолчиларга етказиб берилаётган суюлтирилган газнинг 1 кг нархи неча сўм этиб белгиланган?,Bugungi kunda aholi iste'molchilarga etkazib berilayotgan suyultirilgan gazning 1 kg narxi necha soʻm etib belgilangan?,"Какова стоимость 1 кг сжиженного газа, поставляемого потребителям сегодня?",1,TRUE,both,other,1400 soʻm,1400 сўм,1400 сумов,FALSE,1600 soʻm,1600 сўм,1600 сумов,FALSE,2000 soʻm,2000 сўм,2000 сумов,TRUE,2250 soʻm,2250 сўм,2250 сумов,FALSE,,,,
7,single,"Газ хўжалиги тизимлари объектларида монтаж, таъмирлаш ва ишга тушириш-созлаш ишларини бажариш учун қуйидаги фаолият турлари бўйича қонунчиликда белгиланган тартибда кимдан  рухсатнома олинади?","Gaz xoʻjaligi tizimlari ob'ektlarida montaj, ta'mirlash va ishga tushirish-sozlash ishlarini bajarish uchun quyidagi faoliyat turlari boʻyicha qonunchilikda belgilangan tartibda kimdan  ruxsatnoma olinadi?","У кого в установленном законом порядке выдаётся разрешение на следующие виды деятельности по монтажу, ремонту и наладке систем газоснабжения?",1,TRUE,both,other,Energetika vazirligi,Энергетика вазирлиги,Министерство энергетики,FALSE,Sanoat xavfsizligi davlat qoʻmitasi,Саноат хавфсизлиги давлат қўмитаси,Государственный комитет промышленной безопасности,TRUE,Favqulodda vaziyatlar vazirligi,Фавқулодда вазиятлар вазирлиги,МЧС,FALSE,Mehnat vazirligi,Меҳнат вазирлиги,Министерство труда,FALSE,,,,
8,single,«Табиий газ назорати ва ҳисобининг автоматлаштирилган тизимини жорий этиш» лойиҳасини амалга оширишга доир қўшимча чора-тадбирлар тўғрисидаги Қарорнинг рақами ва қабул қилинган санаси қайси қаторда тўғри кўрсатилган?,«Tabiiy gaz nazorati va hisobining avtomatlashtirilgan tizimini joriy etish» loyihasini amalga oshirishga doir qoʻshimcha chora-tadbirlar toʻgʻrisidagi Qarorning raqami va qabul qilingan sanasi qaysi qatorda toʻgʻri koʻrsatilgan?,В какой строке правильно указаны номер и дата принятия Постановления о дополнительных мерах по реализации проекта «Внедрение автоматизированной системы контроля и учёта природного газа»?,1,TRUE,both,other,"2019 yil 9 iyul, PQ-4388 son","2019 йил 9 июл, ПҚ-4388 сон","9 июля 2019 г., № ПП-4388",FALSE,"2020 yil 18 iyun, PF-6010 son","2020 йил 18 июн, ПФ-6010 сон","18 июня 2020 г., № ПФ-6010",FALSE,"2020 yil 24 sentyabr, PQ-4840 son","2020 йил 24 сентябр, ПҚ-4840 сон","24 сентября 2020 г., №ПП-4840",TRUE,"2020 yil 5 oktyabr, PF-6079 son","2020 йил 5 октябр, ПФ-6079 сон","5 октября 2020 г., №ПФ-6079",FALSE,,,,
9,single,Корхона ва ташкилотларни табиий газ билан газлаштириш учун газ таъминоти ташкилоти томонидан бериладиган “техник шарт”ларнинг амал қилиш муддати қанча?,Korxona va tashkilotlarni tabiiy gaz bilan gazlashtirish uchun gaz ta'minoti tashkiloti tomonidan beriladigan “texnik shart”larning amal qilish muddati qancha?,"Какой срок действия технических условий, выданных газоснабжающей организацией на газификацию предприятий и организаций природным газом?",1,TRUE,both,other,1 yil,1 йил,1 год,TRUE,2 yil,2 йил,2 года,FALSE,3 yil,3 йил,3 года,FALSE,4 yil,4 йил,4 года,FALSE,,,,
10,single,Бир киши ҳисобига иситиладиган бино нормаси неча куб метр ҳажмида белгиланган?,Bir kishi hisobiga isitiladigan bino normasi necha kub metr hajmida belgilangan?,Какой объём отапливаемого помещения на одного человека?,1,TRUE,both,other,11 m3,11 м3,11 м3,FALSE,15 m3,15 м3,15 м3,FALSE,16 m3,16 м3,16 м3,FALSE,43 m3,43 м3,43 м3,TRUE,,,,
11,single,Аҳоли истеъмолчиларнинг хонадонларида газни ҳисобга олиш приборлари мавжуд бўлмаганда овқат тайёрлаш учун бир киши учун ҳисобланадиган сумма қайси қаторда тўғри кўрсатилган?,Aholi iste'molchilarning xonadonlarida gazni hisobga olish priborlari mavjud boʻlmaganda ovqat tayyorlash uchun bir kishi uchun hisoblanadigan summa qaysi qatorda toʻgʻri koʻrsatilgan?,"В какой строке правильно указана сумма, рассчитанная на одного человека для приготовления пищи при отсутствии газовых счётчиков в домохозяйствах бытовых потребителей?",1,TRUE,both,other,7260 soʻm,7260 сўм,7260 сумов,FALSE,9900 soʻm,9900 сўм,9900 сумов,FALSE,16500 soʻm,16500 сўм,16 500 сумов,FALSE,19800 soʻm,19800 сўм,19 800 сумов,TRUE,,,,
12,single,Табиий газнинг формуласи қайси қаторда тўғри келтирилган?,Tabiiy gazning formulasi qaysi qatorda toʻgʻri keltirilgan?,В какой строке правильно указана формула для природного газа?,1,TRUE,both,other,C2H2,C2H2,C2H2,FALSE,CH4,CH4,CH4,TRUE,NH3,NH3,NH3,FALSE,O2,O2,O2,FALSE,,,,
13,single,Авария диспетчерлик хизмати бригадаси авария юз берган жойга неча дақиқадан кўп бўлмаган вақтда етиб бориши белгилаб қўйилган?,Avariya dispetcherlik xizmati brigadasi avariya yuz bergan joyga necha daqiqadan koʻp boʻlmagan vaqtda etib borishi belgilab qoʻyilgan?,Сколько минут требуется бригаде аварийно-диспетчерской службы для прибытия на место аварии?,1,TRUE,both,other,20 daqiqa,20 дақиқа,20 минут,FALSE,30 daqiqa,30 дақиқа,30 минут,FALSE,40 daqiqa,40 дақиқа,40 минут,TRUE,50 daqiqa,50 дақиқа,50 минут,FALSE,,,,
14,single,"Ҳисоблагич, шу жумладан, ўрнатилган тамғаларнинг сақланиши ва бутунлиги учун жавобгарлик кимга юклатилган?","Hisoblagich, shu jumladan, oʻrnatilgan tamgʻalarning saqlanishi va butunligi uchun javobgarlik kimga yuklatilgan?","Кто несёт ответственность за сохранность и целостность счётчика, включая установленные метки?",1,TRUE,both,other,Oʻzenergoinspeksiya,Ўзэнергоинспекция,Узэнергоинспекция,FALSE,Gaz ta'minoti tashkiloti,Газ таъминоти ташкилоти,Газоснабжающая организация,FALSE,Iste'molchi,Истеъмолчи,Потребитель,TRUE,Oʻzstandart agentligi,Ўзстандарт агентлиги,Агентство «Узстандарт»,FALSE,,,,
15,single,Газлаштириш техник шартларига мувофиқ табиий газдан асосий ёқилғи сифатида маълум бир давр мобайнида фойдаланувчи истеъмолчиларга кимлар киради?,Gazlashtirish texnik shartlariga muvofiq tabiiy gazdan asosiy yoqilgʻi sifatida ma'lum bir davr mobaynida foydalanuvchi iste'molchilarga kimlar kiradi?,"Кто относится к потребителям, использующим природный газ в качестве основного топлива в течение определённого периода времени в соответствии с техническими условиями газификации?",1,TRUE,both,other,Kommunal-maishiy iste'molchilar,Коммунал-маиший истеъмолчилар,Коммунально-бытовые потребители,FALSE,Mavsumiy iste'molchilar,Мавсумий истеъмолчилар,Сезонные потребители,TRUE,Qisman oʻchiriladigan iste'molchilar,Қисман ўчириладиган истеъмолчилар,Частично отключенные потребители,FALSE,Maishiy iste'molchilar,Маиший истеъмолчилар,Бытовые потребители,FALSE,,,,
16,single,"Қуйидаги қайси истеъмолчилар етказиб бериладиган табиий газ учун октябр, ноябр ва декабр ойларида олдиндан тўлов 50 фоиз миқдорида, қолган қисми ой якунига қадар, кейинги ойларда эса ҳар ойда 100 фоиз олдиндан тўлов амалга ошириб борадилар?","Quyidagi qaysi iste'molchilar etkazib beriladigan tabiiy gaz uchun oktyabr, noyabr va dekabr oylarida oldindan toʻlov 50 foiz miqdorida, qolgan qismi oy yakuniga qadar, keyingi oylarda esa har oyda 100 foiz oldindan toʻlov amalga oshirib boradilar?","Какие из перечисленных потребителей вносят 50% предоплату за поставленный природный газ в октябре, ноябре и декабре, оставшуюся сумму – в конце месяца, а в последующие месяцы – 100% предоплату ежемесячно?",1,TRUE,both,other,Maishiy iste'molchilar,Маиший истеъмолчилар,Бытовые потребители,FALSE,AGTQShlar,АГТҚШлар,AGTQShlar,FALSE,Issiqxonalar,Иссиқхоналар,Теплицы,TRUE,Strategik tashkilotlar,Стратегик ташкилотлар,Стратегические организации,FALSE,,,,
17,single,Газ ўлчаш асбобларига қўйиладиган техник талаблар қайси меъёрий ҳужжатга асосан назорат қилинади?,Gaz oʻlchash asboblariga qoʻyiladigan texnik talablar qaysi me'yoriy hujjatga asosan nazorat qilinadi?,Какой нормативный документ регламентирует технические требования к приборам учёта газа?,1,TRUE,both,other,GOST 8.586:2005,ГОСТ 8.586:2005,ГОСТ 8.586:2005,FALSE,O’zDSt 8.064-2017,O’zDSt 8.064-2017,UzDSt 8.064-2017,FALSE,GOST 30319.2-96,ГОСТ 30319.2-96,ГОСТ 30319.2-96,FALSE,O’zDSt 3187:2017,O’zDSt 3187:2017,UzDSt 3187:2017,TRUE,,,,
18,single,Ер ости паст босимли газ қувурларидан бино ва иншоотларгача бўлган минимал масофани қанча бўлиши зарур?,Er osti past bosimli gaz quvurlaridan bino va inshootlargacha boʻlgan minimal masofani qancha boʻlishi zarur?,Каково минимальное расстояние от подземных газопроводов низкого давления до зданий и сооружений?,1,TRUE,both,other,2 metrdan kam boʻlmasligi,2 метрдан кам бўлмаслиги,Не менее 2 метров,TRUE,4 metrdan kam boʻlmasligi,4 метрдан кам бўлмаслиги,Не менее 4 метров,FALSE,1 metrdan kam boʻlmasligi,1 метрдан кам бўлмаслиги,Не менее 1 метра,FALSE,6 metrdan kam boʻlmasligi,6 метрдан кам бўлмаслиги,Не менее 6 метров,FALSE,,,,
19,single,Қуйида келтирилганларнинг қайси бири назорат-ўлчов воситаси эмас?,Quyida keltirilganlarning qaysi biri nazorat-oʻlchov vositasi emas?,Какой из перечисленных приборов не является контрольно-измерительным прибором?,1,TRUE,both,other,Difmanometr,Дифманометр,Дифференциальный манометр,FALSE,Rasxodometr,Расходометр,Счетчик расхода,FALSE,Manometr,Манометр,Манометр,FALSE,Drossel,Дроссел,Дроссель,TRUE,,,,
20,single,ПГ-4 шартли белгиси қайси қаторда тўғри кўрсатилган?,PG-4 shartli belgisi qaysi qatorda toʻgʻri koʻrsatilgan?,В каком ряду правильно указано условное обозначение ПГ-4?,1,TRUE,both,other,Gaz sarfi 4 m3/soat boʻlgan gaz plitasi,Газ сарфи 4 м3/соат бўлган газ плитаси,Газовая плита с расходом газа 4 м3/ч,FALSE,Toʻrtta gorelkasi boʻlgan gaz plitasi,Тўртта горелкаси бўлган газ плитаси,Газовая плита с четырьмя конфорками,TRUE,Toʻrtta forsunkali gaz gorelkasi,Тўртта форсункали газ горелкаси,Четырехсопловая газовая горелка,FALSE,Toʻrtinchi klass xavfsizlik gaz plitasi,Тўртинчи класс хавфсизлик газ плитаси,Газовая плита 4-го класса безопасности,FALSE,,,,
21,single,Газ қувурлари қурилиши учун ишлатиладиган полиэтилен қувурларининг мустаҳкамлик захираси коэффициенти ГОСТ 18599-2001га мувофиқ қанча бўлиши зарур?,Gaz quvurlari qurilishi uchun ishlatiladigan polietilen quvurlarining mustahkamlik zaxirasi koeffisienti GOST 18599-2001ga muvofiq qancha boʻlishi zarur?,"Каков требуемый коэффициент запаса прочности полиэтиленовых труб, используемых для строительства газопроводов, согласно ГОСТ 18599-2001?",1,TRUE,both,other,"2,5 dan kam boʻlmasligi","2,5 дан кам бўлмаслиги","Не менее 2,5",TRUE,"2,8 dan kam boʻlmasligi","2,8 дан кам бўлмаслиги","Не менее 2,8",FALSE,"2,0 dan kam boʻlmasligi","2,0 дан кам бўлмаслиги","Не менее 2,0",FALSE,"2,8 dan koʻp boʻlmasligi","2,8 дан кўп бўлмаслиги","Не более 2,8",FALSE,,,,
22,single,Ер ости газ қувурини (Д-500 мм дан ортиқ) герметикликка синашда газ қувурини босим остида энг кам ушлаб туриш вақти қайси жавобда тўғри кўрсатилган?,Er osti gaz quvurini (D-500 mm dan ortiq) germetiklikka sinashda gaz quvurini bosim ostida eng kam ushlab turish vaqti qaysi javobda toʻgʻri koʻrsatilgan?,В каком варианте ответа указано минимальное время нахождения газопровода под давлением при испытании на герметичность подземного газопровода (диаметром более 500 мм)?,1,TRUE,both,other,1 soat,1 соат,1 час,FALSE,8 soat,8 соат,8 часов,FALSE,16 soat,16 соат,16 часов,FALSE,24 soat,24 соат,24 часа,TRUE,,,,
23,single,Ташкилот ҳудудидан ўтувчи ер ости газ қувури трассаси бўйлаб ҳар иккала томонидан қанча кенгликда жой ажратилган бўлиши ва тўсиқлар бўлмаслиги талаб этилади?,Tashkilot hududidan oʻtuvchi er osti gaz quvuri trassasi boʻylab har ikkala tomonidan qancha kenglikda joy ajratilgan boʻlishi va toʻsiqlar boʻlmasligi talab etiladi?,"Какое свободное пространство и отсутствие препятствий требуется с обеих сторон трассы подземного газопровода, проходящей по территории организации?",1,TRUE,both,other,1 metr,1 метр,1 счетчик,FALSE,2 metr,2 метр,2 метра,TRUE,3 metr,3 метр,3 метра,FALSE,4 metr,4 метр,4 метра,FALSE,,,,
24,single,Аҳоли истеъмолчи январ ойида 650 м3 табиий газ истеъмол қилди. Ушбу истеъмол ҳажми неча сўмни ташкил этади?,Aholi iste'molchi yanvar oyida 650 m3 tabiiy gaz iste'mol qildi. Ushbu iste'mol hajmi necha soʻmni tashkil etadi?,В январе потребитель из жилого дома потребил 650 м3 природного газа. Сколько сумов составляет этот расход?,1,TRUE,both,other,475 000 soʻm,475 000 сўм,475 000 сумов,FALSE,650 000 soʻm,650 000 сўм,650 000 сумов,FALSE,770 000 soʻm,770 000 сўм,770 000 сумов,TRUE,1 170 000 soʻm,1 170 000 сўм,1 170 000 сумов,FALSE,,,,
25,single,"Қуйидаги қайси истеъмолчилар табиий газ истеъмоли шартномавий миқдордан 20 фоиз ва ундан ортишига йўл қўйилган тақдирда, мазкур миқдордан ортиқча истеъмол қилинган табиий газ учун белгиланган тарифнинг 1,2 баравари миқдорида тўлов ундирилади?","Quyidagi qaysi iste'molchilar tabiiy gaz iste'moli shartnomaviy miqdordan 20 foiz va undan ortishiga yoʻl qoʻyilgan taqdirda, mazkur miqdordan ortiqcha iste'mol qilingan tabiiy gaz uchun belgilangan tarifning 1,2 baravari miqdorida toʻlov undiriladi?","С какого из перечисленных потребителей, если допущено превышение договорного потребления природного газа на 20 процентов и более, будет взиматься плата за потребление природного газа сверх установленного тарифа в размере 1,2?",1,TRUE,both,other,Strategik tashkilotlar,Стратегик ташкилотлар,Стратегические организации,FALSE,Gaz uzatish tashkiloti,Газ узатиш ташкилоти,Газотранспортная организация,FALSE,AGTQShlar,АГТҚШлар,АГТКШс,TRUE,Maishiy iste'molchilar,Маиший истеъмолчилар,Бытовые потребители,FALSE,Yuqorida nomlari koʻrsatib oʻtilganlardan tashqari iste'molchilar,Юқорида номлари кўрсатиб ўтилганлардан ташқари истеъмолчилар,"Потребители, не указанные выше",FALSE
26,single,Коррупция қарши курашиш бўйича давлат сиёсати асосан гималарга қаратилган?,Korrupsiya qarshi kurashish boʻyicha davlat siyosati asosan nimalarga qaratilgan?,На чем в первую очередь направлена ​​государственная политика по борьбе с коррупцией?,1,TRUE,both,other,Korrupsiya oqibatlari bilan kurashishga,Коррупция оқибатлари билан курашишга,Борьба с последствиями коррупции,FALSE,Korrupsiyani oldini olishga,Коррупцияни олдини олишга,В целях предотвращения коррупции,TRUE,Jinoyachilarni jazolashga,Жиноячиларни жазолашга,Наказывать преступников,FALSE,Soliqlarni oshirishga,Солиқларни оширишга,Повышение налога,FALSE,,,,
27,single,"2 та от 10 км масофани 10 дақиқада босиб ўтса, 1 та от қанча вақтда боради?","2 ta ot 10 km masofani 10 daqiqada bosib oʻtsa, 1 ta ot qancha vaqtda boradi?","Если две лошади преодолевают расстояние в 10 км за 10 минут, сколько времени потребуется одной лошади?",1,TRUE,both,safety_logic_psychology,10 daqiqa,10 дақиқа,10 минут,TRUE,20 daqiqa,20 дақиқа,20 минут,FALSE,5 daqiqa,5 дақиқа,5 минут,FALSE,Vaqt oʻzgarmaydi,Вақт ўзгармайди,Время не меняется,FALSE,,,,
28,single,"1 соатда 60 дақиқа, 2.5 соатда неча дақиқа?","1 soatda 60 daqiqa, 2.5 soatda necha daqiqa?","Сколько минут в 1 часе, а 60 минут — в 2,5 часах?",1,TRUE,both,safety_logic_psychology,120,120,120,FALSE,150,150,150,TRUE,160,160,160,FALSE,180,180,180,FALSE,,,,
29,single,Қайси сифат инсон маданиятида муҳим ҳисобланади?,Qaysi sifat inson madaniyatida muhim hisoblanadi?,Какое качество считается важным в человеческой культуре?,1,TRUE,both,safety_logic_psychology,Hakamlik,Ҳакамлик,Арбитраж,FALSE,Tartib,Тартиб,Приказ,TRUE,Bahs,Баҳс,Обсуждение,FALSE,Mansab,Мансаб,Карьера,FALSE,,,,
30,single,Қайси қатордаги сўз мевани англатмайди?,Qaysi qatordagi so‘z mevani anglatmaydi? ,Какое слово в строке не означает «фрукт»?,1,TRUE,both,safety_logic_psychology,AANNB,AANNB,AANNB,FALSE,SNNAAA,SNNAAA,SNNAAA,FALSE,IXO‘RLO,IXO‘RLO,IXO‘RLO,FALSE,UZARTV,UZARTV,UZARTV,TRUE,,,,